steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
8021264,498205,79.08,1591,0.0718,0.30875,16.446,6104,13453.0,3.38
8073376,501462,79.58,1737,0.0718,0.30506,16.535,6136,13446.3,3.34
8127200,504826,80.08,1794,0.0718,0.3069,16.753,6173,13322.0,3.38
8179184,508075,80.58,1733,0.0718,0.30096,16.69,6204,13964.6,3.58
8233472,511468,81.08,1809,0.0718,0.2995,16.476,6238,14058.1,3.61
8278528,514284,81.58,1502,0.0718,0.30332,16.425,6265,14767.7,3.78
8330000,517501,82.08,1715,0.0718,0.30347,16.59,6305,14349.0,3.63
8383328,520834,82.58,1777,0.0718,0.3057,16.639,6342,13109.3,3.35
8437872,524243,83.08,1817,0.0718,0.29708,17.001,6379,12598.9,3.16
8464096,525882,83.58,874,0.0718,0.29815,17.107,6397,13284.5,3.32
8512064,528880,84.08,1599,0.0718,0.3046,16.986,6428,13933.2,3.42
8558864,531805,84.58,1560,0.0718,0.31201,17.432,6460,14441.4,3.47
8612144,535135,85.08,1776,0.0718,0.31464,16.961,6494,14369.0,3.46
8665408,538464,85.58,1775,0.0718,0.31536,17.19,6533,14184.5,3.51
8718608,541789,86.08,1773,0.0718,0.29933,17.302,6574,13201.6,3.32
8759680,544356,86.58,1369,0.0718,0.29041,17.086,6602,12868.8,3.27
8811632,547603,87.08,1732,0.0718,0.30043,17.304,6641,12542.1,3.23
8859616,550602,87.58,1599,0.0718,0.30133,17.261,6675,13168.1,3.3
8908640,553666,88.08,1634,0.0718,0.29556,17.515,6710,13513.4,3.32
8959264,556830,88.58,1687,0.0718,0.30954,17.232,6741,14254.1,3.44
9003744,559610,89.08,1482,0.0718,0.3169,17.412,6774,14115.0,3.44
9053328,562709,89.58,1653,0.0718,0.30729,17.402,6809,13583.6,3.38
9105216,565952,90.08,1729,0.0718,0.30061,17.292,6849,12793.0,3.18
9155344,569085,90.58,1671,0.0718,0.30325,17.451,6893,12478.8,3.02
9205680,572231,91.08,1677,0.0718,0.30153,17.789,6924,12703.0,3.15
