steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
70517728,4394862,50.65,1553,0.0718,0.28429,20.725,3151,20313.5,4.66
70573808,4398367,51.16,1869,0.0718,0.28683,20.763,3180,20288.9,4.67
70629280,4401834,51.66,1849,0.0718,0.28645,20.756,3215,19252.2,4.45
70684992,4405316,52.16,1857,0.0718,0.28354,20.644,3246,19467.7,4.53
70739328,4408712,52.66,1811,0.0718,0.28652,20.802,3279,18653.9,4.31
70790304,4411898,53.16,1699,0.0718,0.28732,21.012,3307,19209.6,4.49
70845872,4415371,53.66,1852,0.0718,0.29108,20.338,3338,18949.3,4.39
70901152,4418826,54.16,1841,0.0718,0.28765,20.643,3368,19583.0,4.48
70956480,4422284,54.66,1844,0.0718,0.28217,20.851,3401,19336.9,4.45
71003616,4425230,55.16,1571,0.0718,0.27426,20.746,3430,18853.7,4.29
71060640,4428794,55.66,1900,0.0718,0.28022,20.78,3464,18779.6,4.29
71119904,4432498,56.16,1975,0.0718,0.28178,20.526,3495,18393.4,4.28
71177360,4436089,56.66,1915,0.0718,0.27672,20.597,3530,19672.8,4.54
71237248,4439832,57.16,1996,0.0718,0.27909,20.731,3560,19068.0,4.45
71281424,4442593,57.66,1472,0.0718,0.28204,20.517,3586,19497.8,4.45
71340144,4446263,58.16,1957,0.0718,0.27786,20.654,3618,20381.3,4.62
71397520,4449849,58.66,1913,0.0718,0.27856,20.707,3649,20760.3,4.74
71454064,4453383,59.16,1885,0.0718,0.27916,21.021,3682,20138.5,4.61
71502560,4456414,59.66,1616,0.0718,0.27818,20.869,3708,19734.4,4.56
71560816,4460055,60.16,1942,0.0718,0.27637,20.654,3739,19701.6,4.58
71618320,4463649,60.66,1917,0.0718,0.27747,20.862,3770,20012.7,4.65
71674608,4467167,61.16,1876,0.0718,0.27641,20.779,3801,20052.3,4.71
71731616,4470730,61.66,1900,0.0718,0.2803,20.569,3834,19292.7,4.53
71777792,4473616,62.16,1539,0.0718,0.27583,20.587,3859,19216.4,4.47
71834240,4477144,62.66,1881,0.0718,0.27444,20.706,3894,19085.9,4.44
71891024,4480693,63.16,1892,0.0718,0.28,20.747,3928,19197.0,4.48
71947056,4484195,63.66,1868,0.0718,0.27672,20.862,3959,19096.2,4.48
72000016,4487505,64.21,1599,0.0718,0.27592,20.763,3987,19357.0,4.53
72057184,4491078,64.71,1905,0.0718,0.27921,20.645,4021,19155.7,4.47
72116528,4494787,65.21,1978,0.0718,0.27871,20.802,4055,18410.5,4.33
72174624,4498418,65.71,1936,0.0718,0.27841,20.655,4086,19277.7,4.52
72232000,4502004,66.21,1912,0.0718,0.28145,20.762,4114,19436.8,4.57
72281424,4505093,66.71,1647,0.0718,0.27693,20.765,4142,20302.7,4.74
72338688,4508672,67.21,1908,0.0718,0.27143,20.666,4174,19975.6,4.69
72396432,4512281,67.71,1925,0.0718,0.27515,20.708,4204,20293.0,4.76
72455360,4515964,68.21,1964,0.0718,0.2711,20.877,4239,19688.2,4.64
72503792,4518991,68.71,1614,0.0718,0.27285,20.625,4268,18714.6,4.44
72557744,4522363,69.21,1798,0.0718,0.27542,20.805,4297,18887.6,4.49
72612864,4525808,69.71,1837,0.0718,0.28267,20.677,4329,18503.3,4.36
72670240,4529394,70.21,1912,0.0718,0.2738,20.608,4363,19318.2,4.52
72726272,4532896,70.71,1868,0.0718,0.28029,20.487,4391,19533.0,4.5
72772880,4535809,71.21,1553,0.0718,0.2763,20.816,4414,19265.7,4.52
72830416,4539405,71.71,1918,0.0718,0.27925,20.572,4448,19504.3,4.57
72885776,4542865,72.21,1845,0.0718,0.27851,20.612,4480,19944.0,4.65
72941280,4546334,72.71,1850,0.0718,0.285,20.476,4508,19313.8,4.53
73000016,4550005,73.29,1682,0.0718,0.27791,20.372,4541,19415.1,4.55
73056944,4553563,73.79,1897,0.0718,0.27722,20.408,4571,19595.5,4.6
73112784,4557053,74.29,1861,0.0718,0.27853,20.661,4606,19791.8,4.65
73170848,4560682,74.79,1935,0.0718,0.28271,20.568,4638,19289.9,4.55
73228560,4564289,75.29,1923,0.0718,0.28102,20.656,4668,19422.0,4.55
73274976,4567190,75.79,1547,0.0718,0.27462,20.62,4695,19529.9,4.55
73332720,4570799,76.29,1924,0.0718,0.27737,20.61,4723,19637.8,4.59
73389744,4574363,76.79,1901,0.0718,0.28638,20.746,4760,19991.1,4.53
